epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.9901627830228102,0.7066895368782161,0.34644230534582576,0.916243654822335,0.0003
2,0.4032907208556649,0.8770726129216695,0.4872973479595281,0.8324873096446701,0.0003
3,0.36773115614606966,0.8982275586049171,0.5453127713372865,0.7944162436548223,0.0003
4,0.21038694037768826,0.934819897084048,0.28460126668971203,0.9238578680203046,0.0003
5,0.13206175892369415,0.9571183533447685,0.4154842084434432,0.8908629441624365,0.0003
6,0.21422187752250674,0.9245283018867925,0.4191952751675233,0.8807106598984772,0.0003
7,0.22472496972280342,0.9308176100628931,0.39530409547278117,0.8883248730964467,0.0003
8,0.15679859793534648,0.9536878216123499,0.28879321351420456,0.916243654822335,2.9999999999999997e-05
9,0.056203522519759616,0.985134362492853,0.22195566116553272,0.9365482233502538,2.9999999999999997e-05
10,0.014702575374447904,0.9977129788450543,0.20892201623108786,0.9416243654822335,2.9999999999999997e-05
11,0.007776897355289507,1.0,0.20704874806673393,0.9390862944162437,2.9999999999999997e-05
12,0.01025495669240608,0.9971412235563178,0.2024899606455855,0.9416243654822335,2.9999999999999997e-05
13,0.006118028899460387,0.9994282447112636,0.20152748845101612,0.9390862944162437,2.9999999999999997e-05
14,0.006640118406340054,0.9994282447112636,0.2100034615847514,0.9441624365482234,2.9999999999999997e-05
15,0.00417931155374049,1.0,0.20341768453304235,0.949238578680203,2.9999999999999997e-05
16,0.003919612235571229,1.0,0.20437322836842028,0.9467005076142132,2.9999999999999997e-05
17,0.00421080367773848,1.0,0.19395677556241225,0.949238578680203,2.9999999999999997e-05
18,0.0032885271002601867,1.0,0.1978032507645297,0.9467005076142132,2.9999999999999997e-05
19,0.0027987567450704237,1.0,0.19092758614475352,0.9467005076142132,2.9999999999999997e-05
20,0.002418189463825985,1.0,0.19384712360912773,0.9441624365482234,2.9999999999999997e-05
21,0.0027020001265323115,0.9994282447112636,0.19019085465727117,0.949238578680203,2.9999999999999997e-05
22,0.002167117250580053,1.0,0.18989028448834638,0.949238578680203,2.9999999999999997e-05
23,0.0018468346184368786,1.0,0.19097488667570092,0.949238578680203,2.9999999999999997e-05
24,0.0018730126341284087,1.0,0.19520672336977146,0.949238578680203,2.9999999999999997e-05
25,0.0021816586570791888,1.0,0.19240555594093758,0.949238578680203,2.9999999999999997e-05
26,0.00147951344192388,1.0,0.19379135641992698,0.9517766497461929,3e-06
27,0.001657353284157197,1.0,0.19428170923389457,0.949238578680203,3e-06
28,0.001583720415816235,1.0,0.19418634437402796,0.949238578680203,3e-06
29,0.0018414367156597404,1.0,0.19379464708041721,0.9517766497461929,3e-06
